Band1, Band2, Band3, Band4, isWater, lat, long
817,717,252,65528,1,41.79030267824011,-83.2550148784019
819,715,252,65528,1,41.79030267824011,-83.23860178537996
814,710,240,119,1,41.79030267824011,-83.222188692358
813,708,239,119,1,41.79030267824011,-83.20577559933606
813,708,239,119,1,41.79030267824011,-83.18936250631413
869,747,269,123,1,41.77388958521817,-83.3370803435116
840,737,263,65528,1,41.77388958521817,-83.32066725048966
820,731,258,65528,1,41.77388958521817,-83.30425415746772
809,719,249,65528,1,41.77388958521817,-83.28784106444579
803,710,250,65528,1,41.77388958521817,-83.27142797142383
802,710,247,65528,1,41.77388958521817,-83.2550148784019
804,708,242,65528,1,41.77388958521817,-83.23860178537996
798,709,243,65528,1,41.77388958521817,-83.222188692358
796,701,230,65528,1,41.77388958521817,-83.20577559933606
801,704,230,65528,1,41.77388958521817,-83.18936250631413
907,758,276,65528,1,41.75747649219623,-83.3370803435116
850,745,265,65528,1,41.75747649219623,-83.32066725048966
819,730,256,65528,1,41.75747649219623,-83.30425415746772
805,722,253,65528,1,41.75747649219623,-83.28784106444579
800,712,252,134,1,41.75747649219623,-83.27142797142383
800,712,252,134,1,41.75747649219623,-83.2550148784019
795,707,249,130,1,41.75747649219623,-83.23860178537996
795,706,243,126,1,41.75747649219623,-83.222188692358
794,698,234,126,1,41.75747649219623,-83.20577559933606
800,701,236,128,1,41.75747649219623,-83.18936250631413
916,782,293,140,1,41.74106339917429,-83.3370803435116
857,754,267,138,1,41.74106339917429,-83.32066725048966
857,754,267,138,1,41.74106339917429,-83.30425415746772
823,735,259,135,1,41.74106339917429,-83.28784106444579
814,725,250,127,1,41.74106339917429,-83.27142797142383
801,716,246,125,1,41.74106339917429,-83.2550148784019
794,711,246,127,1,41.74106339917429,-83.23860178537996
791,707,245,127,1,41.74106339917429,-83.222188692358
784,698,236,123,1,41.74106339917429,-83.20577559933606
785,695,234,124,1,41.74106339917429,-83.18936250631413
978,852,321,161,1,41.72465030615234,-83.3370803435116
937,812,302,149,1,41.72465030615234,-83.32066725048966
892,782,275,145,1,41.72465030615234,-83.30425415746772
864,775,273,65528,1,41.72465030615234,-83.28784106444579
831,752,259,65528,1,41.72465030615234,-83.27142797142383
816,737,257,65528,1,41.72465030615234,-83.2550148784019
811,733,257,65528,1,41.72465030615234,-83.23860178537996
799,719,245,65528,1,41.72465030615234,-83.222188692358
790,703,236,65528,1,41.72465030615234,-83.20577559933606
785,698,234,65528,1,41.72465030615234,-83.18936250631413
1999,8805,7814,5112,1,41.49486700384516,-82.97599229702888
1316,1335,1262,729,1,41.49486700384516,-82.95957920400694
1327,1344,1908,1257,1,41.49486700384516,-82.943166110985
1301,1348,2661,1774,1,41.49486700384516,-82.92675301796305
1305,1750,3317,2069,1,41.49486700384516,-82.91033992494111
1270,1803,2881,1902,1,41.49486700384516,-82.89392683191917
1228,1254,896,525,1,41.49486700384516,-82.87751373889724
1318,1929,2255,1541,1,41.49486700384516,-82.8611006458753
1340,1788,848,65528,1,41.47845391082322,-82.97599229702888
1278,1243,503,65528,1,41.47845391082322,-82.95957920400694
1253,1187,467,65528,1,41.47845391082322,-82.943166110985
1237,1169,446,65528,1,41.47845391082322,-82.92675301796305
1232,1167,435,65528,1,41.47845391082322,-82.91033992494111
1182,1308,394,212,1,41.47845391082322,-82.89392683191917
1182,1462,438,265,1,41.47845391082322,-82.87751373889724
1404,3718,2484,2495,1,41.47845391082322,-82.8611006458753
1328,1514,519,251,1,41.462040817801274,-82.97599229702888
1189,1185,517,226,1,41.462040817801274,-82.95957920400694
1209,1201,440,216,1,41.462040817801274,-82.943166110985
1218,1247,418,212,1,41.462040817801274,-82.92675301796305
1207,1301,391,208,1,41.462040817801274,-82.91033992494111
1184,1261,448,65528,1,41.462040817801274,-82.89392683191917
1167,1422,462,65528,1,41.462040817801274,-82.87751373889724
1213,1674,1041,65528,1,41.462040817801274,-82.8611006458753
1280,1633,595,344,1,41.44562772477933,-82.97599229702888
1786,4090,1037,65528,1,41.44562772477933,-82.95957920400694
1263,1466,628,65528,1,41.44562772477933,-82.943166110985
1263,1682,627,65528,1,41.44562772477933,-82.92675301796305
1479,4913,1496,65528,1,41.44562772477933,-82.91033992494111
1601,8124,3267,65528,1,41.44562772477933,-82.89392683191917
1797,9956,5700,65528,1,41.44562772477933,-82.87751373889724
2067,12279,9612,65528,1,41.44562772477933,-82.8611006458753
1598,5671,6965,3438,1,41.5112800968671,-82.79544827378751
1186,1284,1159,727,1,41.5112800968671,-82.77903518076558
1231,3095,1755,1040,1,41.5112800968671,-82.76262208774364
